item.log.2020-04-24-00:24 Apr 2020 00:02:11,855 INFO  [bitzero.server.controllers.ExtensionController-12] ItemLogger     - 102914533 | jackpot | 3 | added gold to game | 20000000 | 0
item.log.2020-04-24-00:24 Apr 2020 00:07:31,514 INFO  [bitzero.server.controllers.ExtensionController-5] ItemLogger     - 106214921 | jackpot | 1 | added gold to game | 200000 | 0
item.log.2020-04-24-00:24 Apr 2020 00:08:16,079 INFO  [bitzero.server.controllers.ExtensionController-12] ItemLogger     - 119008808 | jackpot | 4 | added gold to game | 200000000 | 0
item.log.2020-04-24-00:24 Apr 2020 00:11:22,694 INFO  [bitzero.server.controllers.ExtensionController-5] ItemLogger     - 114938667 | jackpot | 1 | added gold to game | 200000 | 0
item.log.2020-04-24-00:24 Apr 2020 00:15:54,495 INFO  [bitzero.server.controllers.ExtensionController-11] ItemLogger     - 115323776 | jackpot | 1 | added gold to game | 200000 | 0
item.log.2020-04-24-00:24 Apr 2020 00:16:34,655 INFO  [bitzero.server.controllers.ExtensionController-1] ItemLogger     - 111777469 | jackpot | 2 | added gold to game | 2000000 | 0
item.log.2020-04-24-00:24 Apr 2020 00:20:25,742 INFO  [bitzero.server.controllers.ExtensionController-2] ItemLogger     - 108677824 | jackpot | 3 | added gold to game | 20000000 | 0
item.log.2020-04-24-00:24 Apr 2020 00:22:05,037 INFO  [bitzero.server.controllers.ExtensionController-15] ItemLogger     - 118237892 | jackpot | 1 | added gold to game | 200000 | 0
item.log.2020-04-24-00:24 Apr 2020 00:30:25,274 INFO  [bitzero.server.controllers.ExtensionController-4] ItemLogger     - 119707318 | jackpot | 1 | added gold to game | 200000 | 0
item.log.2020-04-24-00:24 Apr 2020 00:35:08,803 INFO  [bitzero.server.controllers.ExtensionController-8] ItemLogger     - 111111891 | jackpot | 3 | added gold to game | 20000000 | 122000
item.log.2020-04-24-00:24 Apr 2020 00:44:42,521 INFO  [bitzero.server.controllers.ExtensionController-9] ItemLogger     - 113809789 | jackpot | 1 | added gold to game | 200000 | 0
item.log.2020-04-24-00:24 Apr 2020 00:46:34,286 INFO  [bitzero.server.controllers.ExtensionController-16] ItemLogger     - 111020488 | jackpot | 2 | added gold to game | 2000000 | 0
item.log.2020-04-24-00:24 Apr 2020 00:50:20,168 INFO  [bitzero.server.controllers.ExtensionController-1] ItemLogger     - 116088843 | jackpot | 1 | added gold to game | 200000 | 0
item.log.2020-04-24-00:24 Apr 2020 00:52:30,536 INFO  [bitzero.server.controllers.ExtensionController-14] ItemLogger     - 115778995 | jackpot | 3 | added gold to game | 20000000 | 0
item.log.2020-04-24-00:24 Apr 2020 00:52:48,529 INFO  [bitzero.server.controllers.ExtensionController-2] ItemLogger     - 120039897 | jackpot | 2 | added gold to game | 2000000 | 0
item.log.2020-04-24-00:24 Apr 2020 00:53:43,903 INFO  [bitzero.server.controllers.ExtensionController-12] ItemLogger     - 112760310 | jackpot | 4 | added gold to game | 200000000 | 0
item.log.2020-04-24-01:24 Apr 2020 01:00:01,114 INFO  [bitzero.server.controllers.ExtensionController-5] ItemLogger     - 119797637 | jackpot | 1 | added gold to game | 200000 | 0
item.log.2020-04-24-01:24 Apr 2020 01:06:44,569 INFO  [bitzero.server.controllers.ExtensionController-3] ItemLogger     - 119540022 | jackpot | 4 | added gold to game | 200000000 | 0
item.log.2020-04-24-01:24 Apr 2020 01:11:41,539 INFO  [bitzero.server.controllers.ExtensionController-11] ItemLogger     - 117260447 | jackpot | 4 | added gold to game | 200000000 | 0
item.log.2020-04-24-01:24 Apr 2020 01:14:20,363 INFO  [bitzero.server.controllers.ExtensionController-14] ItemLogger     - 117191721 | jackpot | 4 | added gold to game | 200000000 | 0
item.log.2020-04-24-01:24 Apr 2020 01:26:42,058 INFO  [bitzero.server.controllers.ExtensionController-6] ItemLogger     - 118953715 | jackpot | 4 | added gold to game | 200000000 | 0
item.log.2020-04-24-01:24 Apr 2020 01:28:01,519 INFO  [bitzero.server.controllers.ExtensionController-13] ItemLogger     - 118227036 | jackpot | 1 | added gold to game | 200000 | 0
